;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=p_y:Y_lbl=p_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB
56,-18,-30,30,4541281,2140483,1216,0,15048202,0,0,0,33.973173,112860,102030,25033,4151,20721,3798,2581,643,0,0,0,0,0,0,0,0,0,-1,82239.293,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-15,-30,30,4539422,2138866,1730,0,15046456,0,0,0,34.089006,112500,101730,25486,4266,19921,3706,2675,609,0,0,0,0,0,0,0,0,0,-1,82274.61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-12,-30,30,4538741,2135325,1705,0,15033822,0,0,0,33.949645,114150,103110,25403,4368,19369,3558,2624,638,0,0,0,0,0,0,0,0,0,-1,82309.809,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-9,-30,30,4543577,2131790,1333,0,15038303,0,0,0,33.92773,113100,102480,25503,4385,18293,3290,2683,682,0,0,0,0,0,0,0,0,0,-1,82344.991,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-6,-30,30,4537329,2126954,1330,0,15039104,0,0,0,33.969704,110370,100050,24915,4547,17547,3136,2758,649,0,0,0,0,0,0,0,0,0,-1,82380.19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-3,-30,30,4533119,2124898,1308,0,15042834,0,0,0,33.902699,111690,101130,25369,4408,16716,2967,2791,697,0,0,0,0,0,0,0,0,0,-1,82415.334,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,-30,30,4530517,2120218,1387,0,15045791,0,0,0,33.9806,109770,99870,24895,4461,15686,2826,2754,744,0,0,0,0,0,0,0,0,0,-1,82450.552,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,-30,30,4514972,2112383,1261,0,15041443,0,0,0,34.062078,106500,96720,24492,4418,14769,2668,2674,784,0,0,0,0,0,0,0,0,0,-1,82485.882,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6,-30,30,4529918,2119358,1227,0,15035798,0,0,0,33.993247,105870,96330,24636,4685,13918,2559,2799,777,0,0,0,0,0,0,0,0,0,-1,82521.107,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,9,-30,30,4568433,2133850,1281,0,15036735,0,0,0,33.975135,106320,96660,24653,4559,13386,2416,2731,899,0,0,0,0,0,0,0,0,0,-1,82556.32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12,-30,30,4557302,2132998,1262,0,15020538,0,0,0,34.110302,104700,95310,24402,4607,12686,2239,2710,918,0,0,0,0,0,0,0,0,0,-1,82591.713,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,15,-30,30,4540568,2134186,1162,0,15000137,0,0,0,34.073522,103560,94110,24164,4576,11926,2161,2749,883,0,0,0,0,0,0,0,0,0,-1,82627.055,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,18,-30,30,4535862,2125071,1164,0,14982266,0,0,0,33.854785,103230,94110,23479,4604,10955,2062,2740,921,0,0,0,0,0,0,0,0,0,-1,82662.143,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-21,-27,30,4534592,2119064,1112,0,15046613,0,0,0,33.892039,115830,104700,26967,4247,20282,3696,2669,533,0,0,0,0,0,0,0,0,0,-1,82700.835,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,-18,-27,30,4522428,2116745,1175,0,15042473,0,0,0,33.920944,114750,103800,26795,4305,19511,3625,2715,581,0,0,0,0,0,0,0,0,0,-1,82736.049,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,-15,-27,30,4505869,2115538,1340,0,15043504,0,0,0,33.998343,112410,101550,26911,4455,18889,3404,2752,590,0,0,0,0,0,0,0,0,0,-1,82771.367,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-12,-27,30,4490385,2108804,957,0,15037458,0,0,0,33.988516,111660,101010,26912,4601,17884,3232,2832,644,0,0,0,0,0,0,0,0,0,-1,82806.656,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,-9,-27,30,4538368,2132708,1068,0,15039319,0,0,0,34.015117,112650,101880,27468,4682,17217,3066,2858,668,0,0,0,0,0,0,0,0,0,-1,82841.929,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,-6,-27,30,4531136,2129577,1262,0,15039733,0,0,0,33.925194,114060,103110,27350,4719,16770,3020,2862,751,0,0,0,0,0,0,0,0,0,-1,82877.086,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-3,-27,30,4522138,2127352,1297,0,15043764,0,0,0,33.950618,112560,101850,27319,4795,15834,2780,2911,708,0,0,0,0,0,0,0,0,0,-1,82912.326,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,-27,30,4520691,2124788,1195,0,15044045,0,0,0,34.009671,110130,99660,27206,4717,14908,2746,2788,778,0,0,0,0,0,0,0,0,0,-1,82947.56,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,-27,30,4519685,2119908,1153,0,15042016,0,0,0,33.945265,110250,100170,26923,4729,14233,2572,2917,786,0,0,0,0,0,0,0,0,0,-1,82982.771,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6,-27,30,4515501,2116686,1158,0,15044541,0,0,0,34.01957,107700,97620,26488,4825,13485,2500,2820,789,0,0,0,0,0,0,0,0,0,-1,83018.036,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,9,-27,30,4512692,2114775,1108,0,15035589,0,0,0,34.013278,106620,96990,26081,4957,12627,2252,2969,774,0,0,0,0,0,0,0,0,0,-1,83053.292,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,12,-27,30,4505955,2101749,1429,0,15026763,0,0,0,33.976378,104550,94980,25704,4805,11751,2122,2904,830,0,0,0,0,0,0,0,0,0,-1,83088.559,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,15,-27,30,4527271,2105004,1165,0,15024506,0,0,0,34.009023,103650,94380,25324,4841,10908,2089,2881,849,0,0,0,0,0,0,0,0,0,-1,83123.81,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,18,-27,30,4552489,2118456,1231,0,15017099,0,0,0,33.910934,104580,95310,25024,4749,10398,1948,2939,865,0,0,0,0,0,0,0,0,0,-1,83158.972,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,21,-27,30,4536084,2119525,1264,0,14999760,0,0,0,33.94967,103740,94650,25059,4805,9812,1817,2908,873,0,0,0,0,0,0,0,0,0,-1,83194.167,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,-24,-24,30,4524533,2111975,1402,0,15039123,0,0,0,33.928245,116700,105270,28828,4471,19951,3509,2754,533,0,0,0,0,0,0,0,0,0,-1,83233.462,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,-21,-24,30,4526261,2112883,1253,0,15044626,0,0,0,33.882735,116580,105210,29322,4509,19146,3320,2842,561,0,0,0,0,0,0,0,0,0,-1,83268.557,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,-18,-24,30,4509917,2106749,1268,0,15046958,0,0,0,33.925401,115980,104610,29035,4637,18591,3227,2967,517,0,0,0,0,0,0,0,0,0,-1,83303.754,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,-15,-24,30,4506665,2103778,1120,0,15047994,0,0,0,33.960462,113490,102480,28772,4700,17869,3167,2901,576,0,0,0,0,0,0,0,0,0,-1,83338.951,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,-12,-24,30,4494710,2105071,1288,0,15044703,0,0,0,33.941943,114930,103740,29138,4781,16979,3058,2918,586,0,0,0,0,0,0,0,0,0,-1,83374.094,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,-9,-24,30,4501621,2094331,1281,0,15043086,0,0,0,34.017293,112350,101700,29243,4784,16504,2979,2997,605,0,0,0,0,0,0,0,0,0,-1,83409.415,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-6,-24,30,4554808,2113819,1207,0,15045355,0,0,0,34.105145,112470,101790,29584,4895,15589,2918,3149,618,0,0,0,0,0,0,0,0,0,-1,83444.735,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,-3,-24,30,4531656,2107509,1133,0,15043473,0,0,0,33.954989,111930,101370,29339,4803,14728,2632,3044,729,0,0,0,0,0,0,0,0,0,-1,83479.939,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,-24,30,4530762,2107887,1102,0,15044037,0,0,0,33.900551,112350,101670,28786,4989,13952,2622,3026,718,0,0,0,0,0,0,0,0,0,-1,83515.05,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3,-24,30,4529942,2100123,1207,0,15038963,0,0,0,33.909101,110910,100500,28661,4920,13171,2450,3031,766,0,0,0,0,0,0,0,0,0,-1,83550.212,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6,-24,30,4530041,2106249,1126,0,15040245,0,0,0,33.917348,111030,100620,28947,4881,12698,2323,3019,747,0,0,0,0,0,0,0,0,0,-1,83585.394,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,9,-24,30,4528639,2104752,1197,0,15035910,0,0,0,34.107997,107310,97380,28091,4997,11878,2270,3101,805,0,0,0,0,0,0,0,0,0,-1,83620.788,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,12,-24,30,4522157,2104850,1190,0,15039436,0,0,0,33.980625,106770,97140,27628,5035,11245,2127,3098,832,0,0,0,0,0,0,0,0,0,-1,83656.059,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,15,-24,30,4513343,2101165,1195,0,15031439,0,0,0,33.873904,107220,97560,27475,5083,10609,1945,2997,876,0,0,0,0,0,0,0,0,0,-1,83691.204,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,18,-24,30,4527310,2113247,1100,0,15023295,0,0,0,33.989465,104790,95490,27244,5001,9948,1933,2970,877,0,0,0,0,0,0,0,0,0,-1,83726.422,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,21,-24,30,4547046,2119931,1137,0,14992194,0,0,0,34.003134,104610,95100,27132,5009,9403,1760,2968,878,0,0,0,0,0,0,0,0,0,-1,83761.649,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,24,-24,30,4539554,2107597,1089,0,14967163,0,0,0,34.090484,102330,93150,26405,5124,8756,1699,3035,912,0,0,0,0,0,0,0,0,0,-1,83796.963,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,-27,-21,30,4536329,2117204,1089,0,15023829,0,0,0,33.9205,118530,106680,30701,4789,19061,3519,3008,533,0,0,0,0,0,0,0,0,0,-1,83836.832,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,-24,-21,30,4525298,2126505,1163,0,15025657,0,0,0,33.899923,119460,107520,31709,4707,18720,3276,2965,477,0,0,0,0,0,0,0,0,0,-1,83871.957,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,-21,-21,30,4518257,2122715,1183,0,15034659,0,0,0,33.872313,118350,106710,31587,4744,17967,3236,3048,507,0,0,0,0,0,0,0,0,0,-1,83907.094,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,-18,-21,30,4505613,2119596,1239,0,15048043,0,0,0,33.944582,118530,106470,31545,4897,17286,3113,3092,542,0,0,0,0,0,0,0,0,0,-1,83942.299,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,-15,-21,30,4503516,2117877,1207,0,15047253,0,0,0,33.906644,117960,106320,31738,4910,16785,2990,3078,569,0,0,0,0,0,0,0,0,0,-1,83977.445,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,-12,-21,30,4499920,2115937,1244,0,15037390,0,0,0,33.992051,116100,104730,32194,5026,16228,2858,3176,600,0,0,0,0,0,0,0,0,0,-1,84012.644,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,-9,-21,30,4535983,2144392,1245,0,15039380,0,0,0,33.983294,116580,105180,32212,5111,15622,2901,3251,623,0,0,0,0,0,0,0,0,0,-1,84047.869,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,-6,-21,30,4540855,2136793,1158,0,15045889,0,0,0,34.078792,115410,104160,32294,5161,14931,2618,3235,646,0,0,0,0,0,0,0,0,0,-1,84083.162,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,-3,-21,30,4539783,2131609,1081,0,15037586,0,0,0,34.140013,114420,103230,32004,5214,14162,2618,3293,670,0,0,0,0,0,0,0,0,0,-1,84118.532,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,-21,30,4528326,2119823,1151,0,15028293,0,0,0,33.899389,116130,104760,31585,5444,13665,2395,3263,671,0,0,0,0,0,0,0,0,0,-1,84153.698,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3,-21,30,4524170,2107832,1370,0,15032784,0,0,0,33.966338,112080,101370,31228,5289,12619,2341,3215,720,0,0,0,0,0,0,0,0,0,-1,84188.908,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,6,-21,30,4520335,2108112,1239,0,15035735,0,0,0,33.903318,113640,102750,31031,5316,11988,2238,3261,727,0,0,0,0,0,0,0,0,0,-1,84224.073,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,9,-21,30,4521276,2108154,1256,0,15037254,0,0,0,33.933637,112590,101910,30998,5376,11359,2033,3234,733,0,0,0,0,0,0,0,0,0,-1,84259.245,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,12,-21,30,4512860,2104313,1437,0,15037603,0,0,0,33.975097,109260,99000,30278,5193,10685,1961,3200,778,0,0,0,0,0,0,0,0,0,-1,84294.446,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,15,-21,30,4536440,2118992,1133,0,15030905,0,0,0,33.951726,108660,98520,30181,5183,10047,1942,3133,794,0,0,0,0,0,0,0,0,0,-1,84329.64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,18,-21,30,4541285,2125284,1285,0,15009361,0,0,0,33.915701,109530,99210,29540,5339,9543,1826,3206,842,0,0,0,0,0,0,0,0,0,-1,84364.843,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,21,-21,30,4531463,2108880,1142,0,14980598,0,0,0,33.916003,107520,97770,29052,5246,8787,1657,3176,890,0,0,0,0,0,0,0,0,0,-1,84399.968,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,24,-21,30,4525720,2122466,1047,0,14955037,0,0,0,33.905545,107580,97770,28916,5239,8563,1582,3127,891,0,0,0,0,0,0,0,0,0,-1,84435.115,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,27,-21,30,4515445,2100831,1131,0,14915284,0,0,0,33.894954,105120,95550,28095,5128,7873,1451,3072,907,0,0,0,0,0,0,0,0,0,-1,84470.245,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,-30,-18,30,4514985,2117960,1158,0,15013838,0,0,0,33.914994,120780,108810,33403,4883,18506,3315,3149,579,0,0,0,0,0,0,0,0,0,-1,84510.779,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,-27,-18,30,4504847,2112445,1427,0,15004764,0,0,0,33.965318,117900,105840,33197,4836,17881,3186,3110,443,0,0,0,0,0,0,0,0,0,-1,84545.968,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,-24,-18,30,4502543,2109192,1121,0,15018532,0,0,0,33.980973,117720,105990,33860,4950,17467,3056,3241,489,0,0,0,0,0,0,0,0,0,-1,84581.176,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,-21,-18,30,4514279,2112955,1125,0,15031513,0,0,0,33.921145,120480,108480,34100,5075,17073,2980,3195,477,0,0,0,0,0,0,0,0,0,-1,84616.365,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,-18,-18,30,4547585,2129112,1183,0,15040321,0,0,0,34.093186,118560,106950,34567,5190,16322,3074,3217,570,0,0,0,0,0,0,0,0,0,-1,84651.738,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,-15,-18,30,4530150,2088498,1080,0,15039352,0,0,0,33.915968,118350,106650,33871,5245,15672,2858,3262,532,0,0,0,0,0,0,0,0,0,-1,84686.93,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,-12,-18,30,4521390,2107325,1151,0,15029809,0,0,0,33.988341,117600,105930,34238,5264,15321,2802,3385,609,0,0,0,0,0,0,0,0,0,-1,84722.157,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,-9,-18,30,4508220,2087507,1109,0,15032806,0,0,0,33.914672,117660,106080,34205,5362,14196,2563,3399,592,0,0,0,0,0,0,0,0,0,-1,84757.321,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,-6,-18,30,4507197,2103491,1008,0,15031311,0,0,0,34.195654,115170,103740,34199,5345,13837,2472,3385,581,0,0,0,0,0,0,0,0,0,-1,84792.757,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,-3,-18,30,4502337,2098853,1065,0,15026093,0,0,0,33.905737,117660,106140,34190,5555,13254,2469,3537,666,0,0,0,0,0,0,0,0,0,-1,84827.909,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,-18,30,4497692,2102068,1137,0,15012601,0,0,0,33.971568,115350,104160,34245,5530,12649,2275,3405,657,0,0,0,0,0,0,0,0,0,-1,84863.123,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3,-18,30,4489652,2097506,1112,0,15015768,0,0,0,33.850676,115740,104460,33558,5494,11909,2236,3414,692,0,0,0,0,0,0,0,0,0,-1,84898.198,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,6,-18,30,4527763,2117203,805,0,15025226,0,0,0,33.907166,116730,105180,33915,5551,11528,2153,3444,723,0,0,0,0,0,0,0,0,0,-1,84933.404,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,9,-18,30,4526618,2083095,769,0,15029617,0,0,0,34.007265,111750,100860,33073,5257,10707,1986,3385,751,0,0,0,0,0,0,0,0,0,-1,84968.667,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,12,-18,30,4514213,2021963,908,0,15033926,0,0,0,33.898072,108690,98580,31742,5456,9807,1732,3240,726,0,0,0,0,0,0,0,0,0,-1,85003.806,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,15,-18,30,4526127,2084824,766,0,15023851,0,0,0,33.990456,109230,99090,32474,5434,9508,1741,3347,792,0,0,0,0,0,0,0,0,0,-1,85039.046,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,18,-18,30,4529104,2100345,1121,0,14999653,0,0,0,34.122589,108630,98580,31883,5529,9071,1721,3417,869,0,0,0,0,0,0,0,0,0,-1,85074.383,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,21,-18,30,4518157,2074934,1087,0,14973765,0,0,0,34.059897,106560,96720,30881,5480,8334,1619,3441,796,0,0,0,0,0,0,0,0,0,-1,85109.639,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,24,-18,30,4509583,2082066,1017,0,14965551,0,0,0,33.987741,105780,96120,30321,5346,7951,1510,3281,820,0,0,0,0,0,0,0,0,0,-1,85144.909,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,27,-18,30,4510116,2090815,1177,0,14939956,0,0,0,33.960104,104430,95010,30006,5325,7451,1425,3114,858,0,0,0,0,0,0,0,0,0,-1,85180.122,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
